,Dangerous,Location_x,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,humidity,precipMM,pressure,tempC,winddirDegree,windspeedKmph,maxtempC_1,mintempC_1,totalSnow_cm_1,sunHour_1,uvIndex_1,maxtempC_2,mintempC_2,totalSnow_cm_2,sunHour_2,uvIndex_2,maxtempC_3,mintempC_3,totalSnow_cm_3,sunHour_3,uvIndex_3
944,True,1,0,-5,0.0,8.9,2,-4,-6,-2,-6,23,86,0.1,1013,0,200,15,1.0,-8.0,0.0,10.3,2.0,-1.0,-8.0,0.2,11.6,1.0,3.0,-4.0,0.0,8.9,2.0
945,True,1,0,-5,0.0,8.9,2,-4,-6,-2,-6,23,86,0.1,1013,0,200,15,1.0,-8.0,0.0,10.3,2.0,-1.0,-8.0,0.2,11.6,1.0,3.0,-4.0,0.0,8.9,2.0
946,False,2,8,-5,0.0,10.3,2,-6,-2,1,-2,16,61,0.0,1011,8,229,9,4.0,-7.0,0.2,11.6,2.0,1.0,-4.0,0.9,11.6,1.0,7.0,0.0,0.6,11.6,2.0
947,False,1,-1,-8,0.2,11.6,1,-5,-7,-3,-7,15,91,0.3,1009,-1,287,11,3.0,-4.0,0.0,8.9,2.0,11.0,2.0,0.0,8.9,3.0,12.0,-2.0,0.0,11.6,2.0
948,True,1,3,-4,0.0,8.9,2,-4,-4,-1,-4,14,83,0.0,1006,3,191,10,11.0,2.0,0.0,8.9,3.0,12.0,-2.0,0.0,11.6,2.0,8.0,-6.0,0.0,11.6,2.0
949,True,3,4,-3,1.5,11.6,1,-1,-3,2,-3,29,82,2.6,1012,4,327,20,12.0,0.0,0.0,11.6,3.0,11.0,-4.0,0.0,11.6,2.0,5.0,-6.0,0.0,10.2,2.0
950,True,1,8,-2,0.0,11.6,2,1,2,4,2,10,84,0.0,1024,8,122,5,7.0,-3.0,0.0,11.6,2.0,6.0,-4.0,0.0,11.6,2.0,2.0,-2.0,0.1,7.4,1.0
951,True,1,2,-2,0.1,7.4,1,-1,-5,0,-5,22,97,0.3,1020,2,338,15,2.0,-3.0,0.6,7.4,2.0,6.0,-9.0,0.0,11.6,2.0,1.0,-9.0,0.0,10.2,2.0
952,False,1,6,-9,0.0,11.6,2,-5,-4,-1,-4,17,76,0.0,1021,6,152,9,1.0,-9.0,0.0,10.2,2.0,-2.0,-6.0,0.2,11.6,1.0,3.0,-2.0,1.1,8.7,1.0
953,True,1,3,-2,1.1,8.7,1,0,-3,0,-3,19,96,1.4,1007,3,212,11,2.0,-5.0,0.0,5.9,1.0,1.0,-4.0,0.0,7.3,1.0,4.0,-11.0,0.0,10.2,1.0
954,True,1,1,-4,0.0,7.3,1,-1,-4,-1,-4,19,98,0.0,1011,1,134,10,4.0,-11.0,0.0,10.2,1.0,1.0,-3.0,0.5,5.8,1.0,5.0,-4.0,0.0,10.2,1.0
955,False,1,1,-4,0.0,7.3,1,-1,-4,-1,-4,19,98,0.0,1011,1,134,10,4.0,-11.0,0.0,10.2,1.0,1.0,-3.0,0.5,5.8,1.0,5.0,-4.0,0.0,10.2,1.0
956,True,1,1,-4,0.0,7.3,1,-1,-4,-1,-4,19,98,0.0,1011,1,134,10,4.0,-11.0,0.0,10.2,1.0,1.0,-3.0,0.5,5.8,1.0,5.0,-4.0,0.0,10.2,1.0
957,True,1,4,-11,0.0,10.2,1,-3,-5,-2,-5,14,96,0.0,1019,4,95,7,1.0,-3.0,0.5,5.8,1.0,5.0,-4.0,0.0,10.2,1.0,5.0,0.0,0.0,10.2,1.0
958,False,1,4,-11,0.0,10.2,1,-3,-5,-2,-5,14,96,0.0,1019,4,95,7,1.0,-3.0,0.5,5.8,1.0,5.0,-4.0,0.0,10.2,1.0,5.0,0.0,0.0,10.2,1.0
959,False,1,4,-11,0.0,10.2,1,-3,-5,-2,-5,14,96,0.0,1019,4,95,7,1.0,-3.0,0.5,5.8,1.0,5.0,-4.0,0.0,10.2,1.0,5.0,0.0,0.0,10.2,1.0
960,True,1,1,-3,0.5,5.8,1,-1,-4,-1,-4,11,98,0.6,1015,1,205,7,5.0,-4.0,0.0,10.2,1.0,5.0,0.0,0.0,10.2,1.0,4.0,-3.0,0.0,11.6,2.0
961,False,1,1,-3,0.5,5.8,1,-1,-4,-1,-4,11,98,0.6,1015,1,205,7,5.0,-4.0,0.0,10.2,1.0,5.0,0.0,0.0,10.2,1.0,4.0,-3.0,0.0,11.6,2.0
962,False,1,1,-3,0.5,5.8,1,-1,-4,-1,-4,11,98,0.6,1015,1,205,7,5.0,-4.0,0.0,10.2,1.0,5.0,0.0,0.0,10.2,1.0,4.0,-3.0,0.0,11.6,2.0
963,True,2,5,-5,0.1,11.6,2,-3,-4,-1,-4,11,85,0.2,1016,5,210,7,-1.0,-4.0,0.7,8.7,1.0,4.0,-1.0,0.1,8.7,1.0,5.0,-4.0,0.2,10.1,2.0
964,True,2,5,-5,0.1,11.6,2,-3,-4,-1,-4,11,85,0.2,1016,5,210,7,-1.0,-4.0,0.7,8.7,1.0,4.0,-1.0,0.1,8.7,1.0,5.0,-4.0,0.2,10.1,2.0
965,True,3,2,-7,0.0,11.6,2,-5,-6,-3,-6,17,86,0.0,1017,2,204,9,2.0,-2.0,2.0,7.3,2.0,2.0,-4.0,0.1,8.7,1.0,1.0,-12.0,0.0,7.3,1.0
966,True,1,5,0,0.0,10.2,1,1,-2,2,-2,27,94,0.0,1012,5,167,14,4.0,-3.0,0.0,11.6,2.0,4.0,-7.0,0.0,11.2,2.0,1.0,-5.0,0.1,5.6,1.0
967,True,1,4,-7,0.0,11.2,2,-2,-2,-1,-2,9,94,0.0,1022,4,157,5,1.0,-5.0,0.1,5.6,1.0,3.0,-3.0,0.0,11.1,2.0,2.0,-10.0,0.0,11.1,2.0
968,False,0,0,-5,0.7,7.2,1,-3,-5,-2,-5,13,99,0.8,1011,0,262,7,-1.0,-9.0,0.1,5.8,1.0,-1.0,-14.0,0.0,5.8,1.0,0.0,-7.0,0.3,5.5,1.0
969,False,0,0,-5,0.7,7.2,1,-3,-5,-2,-5,13,99,0.8,1011,0,262,7,-1.0,-9.0,0.1,5.8,1.0,-1.0,-14.0,0.0,5.8,1.0,0.0,-7.0,0.3,5.5,1.0
970,False,1,3,-3,0.0,11.1,2,-2,-5,0,-5,33,90,0.0,1013,3,150,18,2.0,-10.0,0.0,11.1,2.0,0.0,-7.0,0.2,10.1,1.0,-1.0,-7.0,0.0,5.5,1.0
971,True,1,3,-3,0.0,11.1,2,-2,-5,0,-5,33,90,0.0,1013,3,150,18,2.0,-10.0,0.0,11.1,2.0,0.0,-7.0,0.2,10.1,1.0,-1.0,-7.0,0.0,5.5,1.0
972,True,1,3,-3,0.0,11.1,2,-2,-5,0,-5,33,90,0.0,1013,3,150,18,2.0,-10.0,0.0,11.1,2.0,0.0,-7.0,0.2,10.1,1.0,-1.0,-7.0,0.0,5.5,1.0
973,True,1,2,-10,0.0,11.1,2,-4,-7,-3,-7,18,95,0.0,1024,2,144,10,0.0,-7.0,0.2,10.1,1.0,-1.0,-7.0,0.0,5.5,1.0,0.0,-18.0,0.0,11.0,2.0
974,True,1,2,-10,0.0,11.1,2,-4,-7,-3,-7,18,95,0.0,1024,2,144,10,0.0,-7.0,0.2,10.1,1.0,-1.0,-7.0,0.0,5.5,1.0,0.0,-18.0,0.0,11.0,2.0
975,True,1,2,-10,0.0,11.1,2,-4,-7,-3,-7,18,95,0.0,1024,2,144,10,0.0,-7.0,0.2,10.1,1.0,-1.0,-7.0,0.0,5.5,1.0,0.0,-18.0,0.0,11.0,2.0
976,False,1,2,-10,0.0,11.1,2,-4,-7,-3,-7,18,95,0.0,1024,2,144,10,0.0,-7.0,0.2,10.1,1.0,-1.0,-7.0,0.0,5.5,1.0,0.0,-18.0,0.0,11.0,2.0
