Date,Area,Region,Trigger,Depth,Width
12/1/2019,Days Draw,Salt Lake,Skier,,
12/1/2019,Cardiac Bowl,Salt Lake,Unknown,,
11/30/2019,Gobblers,Salt Lake,Natural,3,200
11/30/2019,Scotts Bluff,Salt Lake,Natural,2,200
11/30/2019,Monitors,Salt Lake,Natural,,400
11/30/2019,No Name Bowl,Salt Lake,Skier,3.5,500
11/30/2019,Pioneer Ridge,Salt Lake,Unknown,,"1,000"
11/30/2019,Cardiac Ridge,Salt Lake,Natural,,
11/29/2019,Hidden Canyon,Salt Lake,Skier,20,400
11/29/2019,Pioneer Bowl,Salt Lake,Natural,,
11/29/2019,Hidden Canyon,Salt Lake,Natural,20,400
11/29/2019,Two Dogs,Salt Lake,Skier,2.5,125
11/29/2019,Days Headwall,Salt Lake,Skier,2.5,250
11/29/2019,Silver Fork Headwall,Salt Lake,Skier,2,80
11/29/2019,Great White Icicle,Salt Lake,Hiker,6,20
11/29/2019,Murdock Peak,Salt Lake,Natural,18,500
11/29/2019,Georges Bowl,Salt Lake,Natural,2,
11/29/2019,Patsy Marly,Salt Lake,Natural,12,100
11/29/2019,East Hellgate,Salt Lake,Natural,,
11/29/2019,Big Cottonwood Canyon,Salt Lake,Natural,2.5,100
11/29/2019,Patsy Marly,Salt Lake,Natural,3.5,250
11/29/2019,10420,Salt Lake,Skier,2.5,30
11/29/2019,Patsy Marly,Salt Lake,Natural,,
11/28/2019,Scotts Bluff,Salt Lake,Natural,,
11/28/2019,West Desolation Ridge,Salt Lake,Natural,,200
11/28/2019,South Monitor Bowl,Salt Lake,Skier,3,400
11/28/2019,East Bowl,Salt Lake,,3,50
11/28/2019,Hidden Canyon,Salt Lake,Skier,16,200
11/28/2019,High Ivory,Salt Lake,Natural,,
11/28/2019,Cardiac Ridge,Salt Lake,Natural,,
11/27/2019,Catherine's Pass,Salt Lake,Natural,2,150
11/27/2019,Silver Fork Headwall,Salt Lake,Skier,12,30
11/27/2019,Davenport Hill,Salt Lake,Snowboarder,12,15
11/25/2019,Hidden Canyon,Salt Lake,Skier,6,20
10/29/2019,Gunsight,Salt Lake,Skier,14,5
10/27/2019,Cardiac Ridge,Salt Lake,Natural,10,30
6/3/2019,Sugarloaf,Salt Lake,Natural,8,
6/1/2019,Hypodermic Needle,Salt Lake,Skier,8,
5/24/2019,Albion Basin,Salt Lake,Skier,10,30
5/24/2019,Lone Pine,Salt Lake,Skier,6,
5/24/2019,Devils Castle,Salt Lake,Skier,2,500
5/24/2019,East Castle,Salt Lake,Skier,10,200
5/24/2019,Rocky Point,Salt Lake,Skier,6,
5/24/2019,Y Coulior,Salt Lake,Natural,,

5/23/2019,Banana Days,Salt Lake,Skier,8,70
5/23/2019,Superior,Salt Lake,Skier,12,150
5/22/2019,Superior,Salt Lake,Skier,20,60
5/19/2019,Mineral Fork,Salt Lake,,,
4/23/2019,Alta Periphery,Salt Lake,Skier,18,200
4/19/2019,Wolverine Cirque,Salt Lake,Skier,,20
4/17/2019,Argenta,Salt Lake,Skier,5,40
4/17/2019,Cardiac Ridge,Salt Lake,Natural,12,45
4/16/2019,Dry Fork of AF,Salt Lake,Snowboarder,2,35
