Date,,Region,Trigger,Depth,Width
3/2/2020,Crow's Feet,Salt Lake,Skier,"5""",20'
3/1/2020,Argenta,Salt Lake,Skier,"6""",40'
2/25/2020,North Ogden Divide,Ogden,Skier,,10'
2/24/2020,Raymond Peak,Salt Lake,Natural,,
2/24/2020,Logan,Logan,Skier,,40'
2/23/2020,Blue Cut,Skyline,Natural,"10""",70'
2/23/2020,Forks of the Huntington,Skyline,Natural,"10""",70'
2/22/2020,UFO Bowls,Provo,Natural,"5""",40'
2/22/2020,Mt Olympus,Salt Lake,Natural,,
2/22/2020,Cutler Ridge,Ogden,Natural,,
2/21/2020,Coalpit,Salt Lake,Skier,,35'
2/21/2020,Hogum,Salt Lake,Skier,"18""",30'
2/20/2020,Raymond Glade,Salt Lake,Snowboarder,"8""",70'
2/20/2020,Uintas,Uintas,Unknown,,45'
2/20/2020,Cougar Peak,Logan,Skier,"6""",20'
2/18/2020,Duchesne Ridge,Uintas,Snowmobiler,2',70'
2/18/2020,Holy Moly,Salt Lake,Skier,"6""",90'
2/18/2020,Birthday Chutes,Salt Lake,Skier,"10""",20'
Date,,Region,Trigger,Depth,Width
2/17/2020,Boiler Bowl,Logan,Skier,"12""",100'
2/17/2020,Session Mountains,Salt Lake,Snowmobiler,"10""",150'
2/17/2020,Toledo Bowl,Salt Lake,Natural,"18""",800'
2/17/2020,Flagstaff Gully,Salt Lake,Skier,"8""",100'
2/17/2020,,Ogden,Skier,"12""",250'
2/17/2020,Raymond Peak,Salt Lake,Natural,"17""",
2/17/2020,South Wood Camp,Logan,Natural,,500'
2/17/2020,Patsy Marly,Salt Lake,Skier,"8""",50'
2/17/2020,Box Elder,Provo,Unknown,,100'
2/17/2020,Beaver Mountain Backside,Logan,Skier,"8""",35'
2/17/2020,Green Slope,Salt Lake,Skier,"18""",100'
2/17/2020,Reed and Benson Ridge,Salt Lake,Skier,"20""",100'
2/17/2020,Sunset Peak,Salt Lake,Skier,"12""",100'
2/17/2020,Cutler Ridge,Ogden,Skier,"12""",300'
2/17/2020,Cardiff Pass,Salt Lake,Natural,2',
2/17/2020,Gobblers Knob,Salt Lake,Natural,,800'
2/17/2020,Snake Creek,Salt Lake,,,
2/17/2020,Naomi Trail,Logan,Snowmobiler,"14""",80'
2/16/2020,Alta Ski Area,Salt Lake,,"6""",45'
2/16/2020,Wood Camp,Logan,Natural,"12""",
2/16/2020,Chalk Creek,Uintas,Natural,2.5',150'
2/16/2020,Emma Ridges,Salt Lake,Skier,"6""",80'
2/16/2020,Emma Ridges,Salt Lake,Snowboarder,"5""",200'
2/16/2020,Catchers Mit,Salt Lake,Snowboarder,"4""",100'
2/16/2020,Reynolds Peak,Salt Lake,Skier,"10""",30'
2/16/2020,Highway to Heaven,Salt Lake,Skier,"6""",
2/16/2020,Reynolds Peak,Salt Lake,Skier,"7""",150'
2/16/2020,Butler Fork,Salt Lake,Skier,"7""",100'
2/16/2020,Grizzly Gulch,Salt Lake,Skier,"4""",25'
2/16/2020,Flagstaff Ridge,Salt Lake,Snowboarder,"6""",300'
2/16/2020,Cutler Ridge,Ogden,Skier,"8""",100'
2/14/2020,Uintas,Uintas,Snowmobiler,3',200'
2/14/2020,White Pine Knob,Logan,Skier,"6""",70'
2/12/2020,Tuscarora,Salt Lake,Snowboarder,"6""",10'
2/11/2020,Uintas,Uintas,Natural,,
2/9/2020,First Cornice Bowl,Salt Lake,Snowmobiler,2',300'
2/9/2020,Mt Nebo,Provo,Natural,,
2/8/2020,Currant Creek Peak,Uintas,Unknown,3',300'
2/8/2020,Uintas,Uintas,Unknown,2',60'
2/8/2020,Pointy Peak,Salt Lake,Skier,2',300'
2/8/2020,Cabin Hollow,Skyline,Snowmobiler,2',200'
2/8/2020,Uintas,Uintas,Snowmobiler,,
2/8/2020,Red Rock Chutes,Salt Lake,Natural,"10""",200'
2/8/2020,Big Drift/Skyline Summit,Skyline,Snowmobiler,3',200'
2/8/2020,Wedding Ring Ridge,Skyline,Natural,3',400'
2/8/2020,Double Hill,Uintas,Snowmobiler,3',100'
2/8/2020,Uintas,Uintas,Snowmobiler,,
2/7/2020,Big Horseshoe,Skyline,Natural,3',600'
2/7/2020,Cold Water Canyon,Ogden,Natural,,20'
2/7/2020,Pleasant Creek,Skyline,Natural,,
Date,,Region,Trigger,Depth,Width
2/7/2020,The Spire,Salt Lake,Natural,"18""",100'
2/7/2020,Dugway,Logan,Natural,"12""",40'
2/7/2020,Silver Fork,Salt Lake,Natural,"18""",500'
2/7/2020,Ephraim Canyon,Skyline,Snowmobiler,"20""",80'
2/7/2020,Red Slide,Logan,Natural,,
2/7/2020,Old Logway,Logan,Natural,3',350'
2/7/2020,Santiago Ridge,Salt Lake,Natural,,
2/7/2020,Diving Board,Salt Lake,Natural,,350'
2/6/2020,Memorials,Salt Lake,Natural,"12""",60'
2/6/2020,Hatties Bowl,Logan,Skier,"12""",100'
2/6/2020,Big Horn Peak,Salt Lake,Unknown,5',600'
2/6/2020,Reynolds East Face,Salt Lake,Natural,"10""","1,000'"
2/6/2020,Dutch Draw,Salt Lake,Skier,"16""",20'
2/6/2020,Ogden Canyon,Ogden,Natural,,
2/6/2020,Little Cottonwood Canyon,Salt Lake,Natural,,
2/6/2020,Red Baldy,Salt Lake,Natural,,
2/6/2020,Steam Mill #3,Logan,Natural,2',250'
2/4/2020,Toledo Bowl,Salt Lake,Skier,"4""",15'
2/3/2020,Memorials,Salt Lake,Natural,2',50'
2/3/2020,Moab,Moab,Natural,"12""",50'
2/3/2020,Wolverine Peak,Salt Lake,Natural,,150'
2/3/2020,Ben Lomond,Ogden,Natural,,
2/1/2020,Wellsville Mountain Wilderness,Logan,Natural,,
2/1/2020,Sound of Music,Salt Lake,Unknown,,
2/1/2020,Mill B South,Salt Lake,Skier,2',100'
2/1/2020,Mill B South,Salt Lake,Snowboarder,3',200'
2/1/2020,Pioneer Ridge,Salt Lake,Snowboarder,"12""",
2/1/2020,Wilson Peak,Salt Lake,Skier,"8""",50'
2/1/2020,Gods Lawnmower,Salt Lake,Natural,4',50'
1/31/2020,Superior,Salt Lake,Skier,"12""",80'
1/31/2020,Everest Ridge,Provo,Hiker,"6""",100'
1/31/2020,Rainbow Peak,Salt Lake,Skier,"18""",35'
1/31/2020,Timpanogos,Provo,,,
1/30/2020,Superior,Salt Lake,Skier,"15""",60'
1/30/2020,Cardiff Fork,Salt Lake,,,
1/29/2020,Greaseball,Salt Lake,Unknown,"6""",100'
1/29/2020,Cascade Ridge line,Provo,,,
1/29/2020,Little Superior,Salt Lake,Skier,"12""",70'
1/29/2020,Days Fork,Salt Lake,Unknown,"18""",200'
1/28/2020,Superior,Salt Lake,Skier,"18""",80'
1/28/2020,Cardiff Fork,Salt Lake,Skier,"4""",40'
1/28/2020,White Pine,Salt Lake,Snowboarder,"6""",150'
1/28/2020,Cutler Ridge,Ogden,Skier,"4""",25'
1/28/2020,Tuscarora,Salt Lake,Snowboarder,"12""",150'
1/27/2020,South Monitor Bowl,Salt Lake,Skier,"12""",100'
1/27/2020,Lake Desolation,Salt Lake,Skier,"10""",60'
1/27/2020,"Willows, West Monitor",Salt Lake,Skier,"5""",20'
1/27/2020,Mt Olympus,Salt Lake,Natural,,400'
1/27/2020,East Couloir,Salt Lake,Unknown,,
1/27/2020,Scotties Bowl,Salt Lake,Natural,"6""",
Date,,Region,Trigger,Depth,Width
1/27/2020,Tanners Gulch,Salt Lake,Unknown,2',800'
1/27/2020,Little Pine,Salt Lake,Natural,,
1/27/2020,Cardiff Fork,Salt Lake,Natural,"12""",40'
1/27/2020,Cardiff Fork,Salt Lake,Skier,"10""",40'
1/27/2020,Toledo Bowl,Salt Lake,Snowboarder,"8""",40'
1/26/2020,South Fork Lake Canyon,Skyline,Natural,"12""",100'
1/26/2020,Wolverine Cirque,Salt Lake,Skier,"4""",20'
1/26/2020,Y-Not Couloir,Salt Lake,Natural,,
1/25/2020,LSB North,Salt Lake,Skier,"8""",70'
1/25/2020,Stupid Chute,Salt Lake,Skier,"3""",10'
1/25/2020,Hellgate,Salt Lake,Unknown,,
1/25/2020,Broads Fork,Salt Lake,Natural,6',80'
1/25/2020,Red Baldy,Salt Lake,Skier,"4""",30'
1/25/2020,Moffit Basin,Uintas,Snowmobiler,2.5',300'
1/24/2020,Diving Board,Salt Lake,Natural,7',200'
1/23/2020,Tuscarora,Salt Lake,Skier,"12""",10'
1/23/2020,Dry Fork,Provo,Snowmobiler,2',60'
1/23/2020,Superior,Salt Lake,Snowboarder,"8""",25'
1/22/2020,Moab,Moab,Natural,"18""",175'
1/22/2020,Gods Lawnmower,Salt Lake,Skier,"6""",50'
1/22/2020,Hallway Couloir,Salt Lake,Skier,"6""",30'
1/22/2020,Moab,Moab,Natural,,
1/21/2020,Moab,Moab,Natural,,70'
1/21/2020,Ogden,Ogden,Skier,"4""",100'
1/21/2020,Salt Lake,Salt Lake,Natural,"5""",20'
1/21/2020,Red Slide,Logan,Natural,2',100'
1/21/2020,Moab,Moab,Natural,"20""",50'
1/20/2020,Red Cliffs,Salt Lake,Unknown,,
1/19/2020,Fairgrounds,Logan,Unknown,4',150'
1/19/2020,Hellgate,Salt Lake,Natural,,
1/19/2020,Banana Days,Salt Lake,Natural,,40'
1/19/2020,Mill B South,Salt Lake,Skier,"12""",500'
1/19/2020,"Miller Bowl, East",Logan,Skier,5',400'
1/18/2020,,Ogden,Snowmobiler,3',200'
1/18/2020,Cottonwood Ridgeline,Salt Lake,Hiker,,40'
1/18/2020,Cardiff Fork,Salt Lake,Natural,"12""",100'
1/18/2020,Scotties Bowl,Salt Lake,Skier,"5""",10'
1/18/2020,Bountiful,Salt Lake,Snowmobiler,"20""",40'
1/17/2020,Ogden Foothills,Ogden,Natural,,50'
1/17/2020,Murdock Peak,Salt Lake,Unknown,3.5',40'
1/17/2020,Y Coulior,Salt Lake,Natural,,
1/17/2020,Y-Not Couloir,Salt Lake,Natural,,
1/17/2020,Salt Lake,Salt Lake,Natural,"10""",20'
1/17/2020,Cutler Ridge,Ogden,Natural,,
1/17/2020,Cutler Ridge,Ogden,Natural,,
1/17/2020,Gibson Canyon,Logan,Natural,4',300'
1/17/2020,Millville Ridgeline,Logan,Natural,6',100'
1/16/2020,North Bowl of Mt. Elmer,Logan,Natural,2.5',45'
1/15/2020,Big Baldy Shoulder,Logan,Natural,,300'
1/15/2020,West Monitor,Salt Lake,Unknown,"12""",125'
Date,,Region,Trigger,Depth,Width
1/15/2020,Rodeo Grounds,Logan,Unknown,8',200'
1/15/2020,Humpy Peak,Uintas,Skier,4',"1,000'"
1/15/2020,Big Cottonwood Canyon,Salt Lake,,2.5',
1/15/2020,Uintas,Uintas,Snowmobiler,5',200'
1/14/2020,East Bowl,Salt Lake,Natural,"6""",70'
1/14/2020,South Monitor Bowl,Salt Lake,Natural,4',500'
1/14/2020,Scotts Peak,Salt Lake,Natural,"12""",200'
1/14/2020,Tony Grove Lake,Logan,Natural,"10""",60'
1/13/2020,Park City Ridgeline,Salt Lake,Snowboarder,"8""",70'
1/13/2020,Bear Trap,Salt Lake,Skier,,
1/13/2020,Flagstaff Ridge,Salt Lake,Natural,,50'
1/13/2020,Beaver Canyon,Logan,Natural,,80'
1/13/2020,Moab,Moab,Unknown,,
1/12/2020,White Pine,Salt Lake,Natural,,
1/12/2020,Square Top,Salt Lake,Skier,"15""",40'
1/12/2020,Reynolds Peak,Salt Lake,Skier,2',30'
1/11/2020,Bountiful,Salt Lake,Snowboarder,"12""",40'
1/10/2020,Cardiac Ridge,Salt Lake,Unknown,,50'
1/10/2020,Uintas,Uintas,Snowmobiler,,
1/10/2020,Boss Canyon,Logan,Snowmobiler,"15""",70'
1/10/2020,Mt. Magog East Face,Logan,Natural,2',50'
1/9/2020,"White Pine Knob, southeast face",Logan,Natural,"12""",100'
1/9/2020,"White Pine Knob, southeast face",Logan,Natural,"2""",50'
1/7/2020,Cascade Cirque,Provo,Natural,,
1/7/2020,Gobblers,Salt Lake,Natural,"12""",150'
1/7/2020,White Pine Creek,Logan,Snowmobiler,2',100'
1/5/2020,Wilson Peak,Salt Lake,Skier,"12""",175'
1/4/2020,Dry Fork,Provo,Snowmobiler,2',125'
1/4/2020,,Logan,Snowmobiler,2',150'
1/4/2020,Uintas,Uintas,,,30'
1/4/2020,Uintas,Uintas,Unknown,,300'
1/4/2020,Dry Fork,Provo,Snowmobiler,2',100'
1/4/2020,Columbine Bowl,Salt Lake,Skier,"16""",150'
1/4/2020,White Pine,Salt Lake,Skier,"10""",30'
1/4/2020,Firewater,Salt Lake,Natural,2',100'
1/4/2020,Tuscarora,Salt Lake,Skier,"22""",30'
1/4/2020,Red Top,Salt Lake,Natural,,
1/4/2020,Hallway Couloir,Salt Lake,Skier,"6""",25'
1/3/2020,Microwave,Salt Lake,Snowboarder,"18""",60'
1/3/2020,Uintas,Uintas,Snowmobiler,5',800'
1/3/2020,Box Elder,Provo,Natural,,
1/3/2020,Uintas,Uintas,Snowmobiler,"5""","1,000'"
1/3/2020,Uintas,Uintas,Snowmobiler,4',300'
1/2/2020,Butler Fork,Salt Lake,Skier,"12""",30'
1/2/2020,Tuscarora,Salt Lake,Unknown,"14""",40'
1/2/2020,Little Water,Salt Lake,Skier,"12""",60'
1/2/2020,Tanners Gulch,Salt Lake,Natural,,
1/2/2020,Big Cottonwood Canyon,Salt Lake,Natural,"12""",150'
1/1/2020,Reynolds Peak,Salt Lake,Skier,"8""",50'
1/1/2020,Murdock Peak,Salt Lake,Skier,2.5',100'
Date,,Region,Trigger,Depth,Width
1/1/2020,Toots to Boot,Salt Lake,Skier,"12""",30'
1/1/2020,Cutler Ridge,Ogden,Skier,"4""",35'
1/1/2020,Little Cottonwood Canyon,Salt Lake,,,
12/31/2019,Mary Ellen,Provo,Natural,"5""",50'
12/31/2019,Firewater,Salt Lake,Unknown,2',100'
