Date,Area,Depth,Width,Dangerous
5/24/2019,Albion Basin,0.8333333333333334,30,FALSE
5/24/2019,Devils Castle,2,500,TRUE
5/23/2019,Banana Days,0.6666666666666666,70,FALSE
5/23/2019,Superior,1,150,TRUE
5/22/2019,Superior,1.6666666666666667,60,TRUE
4/23/2019,Alta Periphery,1.5,200,TRUE
4/17/2019,Argenta,0.4166666666666667,40,FALSE
4/17/2019,Cardiac Ridge,1,45,FALSE
4/16/2019,Main Days,0.6666666666666666,800,FALSE
4/16/2019,West Monitor,1,30,FALSE
4/16/2019,Dry Fork of AF,0.16666666666666666,35,FALSE
4/16/2019,Red Baldy,1,100,TRUE
4/15/2019,Greaseball,1,30,FALSE
4/14/2019,Y Coulior,0.5,10,FALSE
4/14/2019,Jupiter,1.6666666666666667,125,TRUE
4/13/2019,Big Willow,4,400,TRUE
4/13/2019,Mill B South,0.8333333333333334,50,FALSE
4/12/2019,Superior,0.5,60,FALSE
4/12/2019,Key hole,1.5,60,TRUE
4/11/2019,Scotties Bowl,2,70,TRUE
4/11/2019,Butler Basin,1,30,FALSE
4/10/2019,Scotties Bowl,0.3333333333333333,80,FALSE
4/10/2019,West Porter,0.6666666666666666,30,FALSE
4/10/2019,Kessler Slabs,0.6666666666666666,40,FALSE
4/10/2019,Chicken Sh#! Ridge,0.5,50,FALSE
4/10/2019,Catchers Mit,0.8333333333333334,30,FALSE
4/9/2019,Broads Fork,5,90,TRUE
4/6/2019,Emma Ridges,0.5,10,FALSE
4/5/2019,Blue Ice,10,300,TRUE
4/3/2019,Sliver peak,0.3333333333333333,10,FALSE
4/3/2019,Claytons,0.6666666666666666,350,FALSE
3/31/2019,Bonkers,2.5,150,TRUE
3/31/2019,West Couloir,0.6666666666666666,30,FALSE
3/30/2019,Hypodermic Needle,3,100,TRUE
3/30/2019,Argenta,0.8333333333333334,150,FALSE
3/30/2019,Silver Fork,0.8333333333333334,25,FALSE
3/30/2019,Holy Toledo,0.5,30,FALSE
3/29/2019,Argenta,0.4166666666666667,30,FALSE
3/29/2019,Summit Park,0.6666666666666666,50,FALSE
3/29/2019,South Monitor Bowl,1.5,200,TRUE
3/29/2019,South Monitor Bowl,2,60,TRUE
3/29/2019,Days Draw,1.1666666666666667,50,FALSE
3/29/2019,Brighton Hill,1,45,FALSE
3/26/2019,Hogum,1.6666666666666667,80,TRUE
3/26/2019,Cardiac Ridge,0.6666666666666666,30,FALSE
3/24/2019,Mill B South,1,25,FALSE
3/24/2019,East Bowl,0.6666666666666666,20,FALSE
3/24/2019,Birthday Chutes,0.5,50,FALSE
3/24/2019,Patsy Marly,0.8333333333333334,50,FALSE
3/24/2019,Upper Meadow Chutes,0.6666666666666666,40,FALSE
3/24/2019,Gobblers Knob,0.3333333333333333,40,FALSE
3/24/2019,Birthday Chutes,1,150,TRUE
3/24/2019,Wolverine Cirque,0.5,30,FALSE
3/24/2019,Grizzly Gulch,1,20,FALSE
3/21/2019,Flanigans,0.5,80,FALSE
3/16/2019,Salt Lake foothills,0.5,15,FALSE
3/16/2019,Toledo Chutes,0.08333333333333333,50,FALSE
3/16/2019,Reynolds Pk,0.3333333333333333,80,FALSE
3/15/2019,Chipman Peak,1.1666666666666667,300,TRUE
3/15/2019,Red Top,2,300,TRUE
3/14/2019,Georges Bowl,2,100,TRUE
3/14/2019,Greaseball,2.5,50,FALSE
3/14/2019,Salt Lake,1.6666666666666667,150,TRUE
3/14/2019,Emma Ridges,1,20,FALSE
3/13/2019,Mt Olympus,1.5,35,FALSE
3/11/2019,Wolverine Cirque,0.6666666666666666,30,FALSE
3/11/2019,Banana Days,0.16666666666666666,100,FALSE
3/11/2019,Room of Doom,0.6666666666666666,30,FALSE
3/10/2019,Tri Chutes,1.1666666666666667,50,FALSE
3/9/2019,South Monitor Bowl,1,40,FALSE
3/9/2019,West Willow,2,300,TRUE
3/8/2019,Brighton Perimeter,0.5,200,FALSE
3/8/2019,Brighton Perimeter,1.1666666666666667,80,TRUE
3/7/2019,Rocky Point,0.6666666666666666,30,FALSE
3/7/2019,Dougs Drop,0.5833333333333334,125,FALSE
3/7/2019,Silver/Days,0.8333333333333334,80,FALSE
3/7/2019,Back Bowls,2,300,TRUE
3/7/2019,Benson and Hedges,1.3333333333333333,30,FALSE
3/7/2019,Lake Peak,1,2500,TRUE
3/7/2019,South Monitor Bowl,0.8333333333333334,300,FALSE
3/7/2019,White Pine,1.6666666666666667,300,TRUE
3/6/2019,Patsy Marly,1.3333333333333333,45,FALSE
3/4/2019,Summit Park,0.8333333333333334,80,FALSE
